Filename,exercise name,Cues (Separate using # for multiple cues)
IMG_3899.mov,Long Sitting Band Foot Raise (?),#place the band around your feet #brace your core #lift your foot so your ankle is parallel to the floor #place your foot back to the ground
IMG_3900.mov,Sidelying Leg Lift ,#lift leg #engage inner thighs and glutes #abs pulled in 
IMG_3901.mov,Single Band Sweep,#place the band around the ankles #lift your bottom leg up and forward #feel the burn in your inner-thighs #brace your core
IMG_3902.mov,Band Hamstrings Curl,#lay on the stomach #place the band around the laft ankle and right foot #bend your knee 
IMG_3903.mov,Band Squat,#loop a band just above your knees #stand with your hip-width apart #engage your core #bend your knees #send your hips back to lower into a squat
IMG_3904.mov,Band Squat,#loop a band just above your knees #stand with your hip-width apart #engage your core #bend your knees #send your hips back to lower into a squat
IMG_3905.mov,Lateral Band Walk,#place the band above your knees #stand in a quarter-squat position #take a step to the side 
IMG_3906.mov,Modified Elbow Plank ,#start on the floor #rest on your forearms and knees #contract your abs #your spine should be parallel to the floor 
IMG_3907.mov,Elbow Plank ,"#start on the floor resting your forearms and knees  #step your feet out one at a time, coming into a plank position"
IMG_3908.mov,Plank ,#raise up onto your toes # keep your hands directly below your shoulders #contract your abs #pull your belly button pulled in
IMG_3909.mov,Modified Plank,#start on all-fours #walk your hands forward #form a straight line from your head to your knees #lift your feet forward #engage your hamstrings and glutes
IMG_3911.mov,Plank With Alternating Shoulder Tap,#begin in a plank variation #feet slighter wider than your hips #bring your right hand to the left shoulder and place it back to the mat #bring your left hand to the right shoulder and return to the mat
IMG_3912.mov,Spider-Man Plank,#start in a plank #bring your knee to your elbow #place the foot back on the ground #alternate sides
IMG_3913.mov,Leg Lift Hold,#lean back on your forearm #raise your legs up 45 degrees #hold the position
IMG_3914.mov,Leg Raise,#glue your legs together #lift your legs up and lower them down #engage your core 
IMG_3915.mov,Leg LIft,#lay face up with your legs extended and arms on the floor by your side #lift your legs up and toward your face keeping them together #stop when your legs are vertical #lower your legs down to starting position 
IMG_3916.mov,Sit-Ups ,#lay face up #cross your arms across your chest #roll your body up #brace your core #roll back down
IMG_3917.mov,Side Elbow Plank ,"#turn on one side, using the forearm and side of the foot as anchors to the floor #keep your body in a straight line #engage the entire core "
IMG_3918.mov,Side Plank,#lift your body into a side plank position #keep the abdominals engaged #hold the plank
IMG_3919.mov,Rocking Forearm Plank,"#start in a forearm plank #rock your enire body forward, coming more onto your toes allowing your shaoulders to go past your elbows #rock back to your starting position"
IMG_3920.mov,Scissors ,#lie face up with your legs extended and arms on the floor by your side #lift your right leg back up as your lower your left leg down toward the ground 
IMG_3921.mov,Long Sitting Scissors ,#brace your core #scissor your feet up and down #keep your legs straight 
